Ind,Gender,age_range,Occ_code,Partner_status,Region,Lodgment_method,PHI_Ind,Sw_amt,Alow_ben_amt,ETP_txbl_amt,Grs_int_amt,Aust_govt_pnsn_allw_amt,Unfranked_Div_amt,Frk_Div_amt,Dividends_franking_cr_amt,Net_rent_amt,Gross_rent_amt,Other_rent_ded_amt,Rent_int_ded_amt,Rent_cap_wks_amt,Net_farm_management_amt,Net_PP_BI_amt,Net_NPP_BI_amt,Total_PP_BI_amt,Total_NPP_BI_amt,Total_PP_BE_amt,Total_NPP_BE_amt,Net_CG_amt,Tot_CY_CG_amt,Net_PT_PP_dsn,Net_PT_NPP_dsn,Taxed_othr_pnsn_amt,Untaxed_othr_pnsn_amt,Other_foreign_inc_amt,Other_inc_amt,Tot_inc_amt,WRE_car_amt,WRE_trvl_amt,WRE_uniform_amt,WRE_self_amt,WRE_other_amt,Div_Ded_amt,Intrst_Ded_amt,Gift_amt,Non_emp_spr_amt,Cost_tax_affairs_amt,Other_Ded_amt,Tot_ded_amt,PP_loss_claimed,NPP_loss_claimed,Rep_frng_ben_amt,Med_Exp_TO_amt,Asbl_forgn_source_incm_amt,Spouse_adjusted_taxable_inc,Net_fincl_invstmt_lss_amt,Rptbl_Empr_spr_cont_amt,Cr_PAYG_ITI_amt,TFN_amts_wheld_gr_intst_amt,TFN_amts_wheld_divs_amt,Hrs_to_prepare_BPI_cnt,Taxable_Income,Help_debt,MCS_Emplr_Contr,MCS_Prsnl_Contr,MCS_Othr_Contr,MCS_Ttl_Acnt_Bal
125389,0,5,3,0,504,A,1,107251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107251,3471,0,300,0,218,0,0,141,0,169,0,4299,0,0,0,0,0,0,0,0,0,0,0,0,102952,0,5901,0,0,16251
1977,0,1,1,1,801,A,0,26235,0,0,187,10086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36508,0,0,132,0,269,0,0,45,0,406,0,852,0,0,0,0,0,13732,0,0,0,0,0,0,35656,0,2391,0,244,78885
13580,1,3,1,0,121,A,1,53121,0,0,208,0,0,0,0,53520,82236,1221,27495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12659,20160,5,0,0,106849,0,5399,12484,0,86624
83871,0,4,5,1,103,A,1,75275,419,0,6,0,0,562,241,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,436,0,0,11,0,76950,0,0,344,0,894,0,0,91,0,114,0,1443,0,0,0,0,11,29088,0,4908,0,0,0,0,75507,0,11927,0,0,253716
206141,0,4,1,1,113,A,1,95074,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1437,9294,0,0,0,1,102977,0,0,0,0,0,0,0,47,0,0,3036,3083,0,0,0,0,0,79912,0,13330,2739,0,0,0,99894,0,22448,0,0,169365
255775,1,10,5,0,211,A,0,30941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30941,1064,0,141,0,931,0,0,0,0,0,0,2136,0,0,0,0,0,0,0,0,0,0,0,0,28805,0,1664,0,262,6136
42353,1,0,1,1,505,A,1,13726,0,0,681,0,0,5508,2271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22186,0,0,0,0,0,0,0,1301,0,0,0,1301,0,0,0,0,0,36776,0,15900,0,0,0,0,20885,0,15505,142350,204,1026754
132832,1,10,9,0,312,S,1,9826,0,0,0,6566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16392,0,176,0,123,1690
128672,1,8,0,0,213,A,0,0,0,0,2744,0,0,0,0,0,0,0,0,0,0,0,23733,0,67659,0,43926,0,0,0,0,0,0,0,0,26477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26477,0,0,0,0,0
30077,0,5,6,1,216,A,1,67004,6387,0,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74251,5410,1040,158,0,729,0,0,46,0,147,0,7530,0,0,0,0,0,47114,0,0,0,0,0,0,66721,0,6826,0,0,90589
